"num","date","title","year","rate"
1,"2023-03","국고채권(1년)",1,3.274
2,"2023-03","국고채권(2년)",2,3.341
3,"2023-03","국고채권(3년)",3,3.27
4,"2023-03","국고채권(5년)",5,3.274
5,"2023-03","국고채권(10년)",10,3.34
6,"2023-03","국고채권(20년)",20,3.372
7,"2023-03","국고채권(30년)",30,3.34
8,"2023-03","국고채권(50년)",50,3.315
1,"2022-12","국고채권(1년)",1,3.773
2,"2022-12","국고채권(2년)",2,3.803
3,"2022-12","국고채권(3년)",3,3.722
4,"2022-12","국고채권(5년)",5,3.743
5,"2022-12","국고채권(10년)",10,3.73
6,"2022-12","국고채권(20년)",20,3.684
7,"2022-12","국고채권(30년)",30,3.683
8,"2022-12","국고채권(50년)",50,3.687
1,"2021-12","국고채권(1년)",1,1.35
2,"2021-12","국고채권(2년)",2,1.675
3,"2021-12","국고채권(3년)",3,1.798
4,"2021-12","국고채권(5년)",5,2.011
5,"2021-12","국고채권(10년)",10,2.25
6,"2021-12","국고채권(20년)",20,2.328
7,"2021-12","국고채권(30년)",30,2.31
8,"2021-12","국고채권(50년)",50,2.307
